Date,Ticker,ShortName,RedCode,Tier,Ccy,DocClause,Contributor,Spread6m,Spread1y,Spread2y,Spread3y,Spread5y,Spread7y,Spread10y,Spread15y,Spread20y,Spread30y,Recovery,CompositeDepth5y,Sector,Region,AvRating,ImpliedRating,CompositeLevel6m,CompositeLevel1y,CompositeLevel2y,CompositeLevel3y,CompositeLevel5y,CompositeLevel7y,CompositeLevel10y,CompositeLevel15y,CompositeLevel20y,CompositeLevel30y,CompositeLevelRecovery
06-Mar-19,QUS-CapFund,Qwest Cap Fdg Inc,7BDA4H,SNRFOR,USD,XR14,Composite,0.56%,0.64%,0.97%,1.25%,1.85%,2.15%,2.36%,2.44%,2.49%,2.52%,40%,3,Communications and Technology,N.Amer,BB,B,Thin,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,Thin,Thin,CcyGrp
06-Mar-19,QUS-Corp,Qwest Corp,7BDA4J,SNRFOR,USD,XR14,Composite,0.30%,0.42%,0.81%,1.22%,2.20%,2.87%,3.60%,3.57%,3.47%,4.30%,40%,5,Communications and Technology,N.Amer,BB,B,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,CcyGrp,CcyGrp
06-Mar-19,QUS-ServsCorp,Qwest Svcs Corp,7BDA4U,SNRFOR,USD,XR14,Composite,,,,0.67%,1.18%,1.41%,1.58%,1.69%,1.72%,1.75%,40%,2,Communications and Technology,N.Amer,BB,BB,,,,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
06-Mar-19,R,Ryder Sys Inc,7FB89D,SNRFOR,USD,XR14,Composite,0.15%,0.18%,0.34%,0.50%,1.01%,1.37%,1.57%,1.63%,1.71%,1.73%,40%,9,Industrial,N.Amer,BBB,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,RA-OperPart,RECKSON OPER PARTNERSHIP LP,7CB83M,SNRFOR,USD,XR14,Composite,0.13%,0.25%,0.48%,0.74%,1.22%,1.54%,1.64%,1.64%,1.64%,1.64%,39.50%,4,Financial,N.Amer,BBB,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,RAD,Rite Aid Corp,7DDEC9,SECDOM,USD,XR14,Composite,1.88%,3.24%,5.36%,9.10%,12.19%,12.21%,11.78%,11.33%,11.13%,11.02%,33.56%,8,Consumer Cyclical,N.Amer,B,CCC,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,CcyGrp
06-Mar-19,RAD,Rite Aid Corp,7DDEC9,SNRFOR,USD,XR14,Composite,1.88%,3.24%,5.36%,9.10%,12.19%,12.21%,11.78%,11.33%,11.13%,11.02%,33.56%,8,Consumer Cyclical,N.Amer,B,CCC,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,CcyGrp
06-Mar-19,RAGAG-EVODEG,Evonik Degussa GmbH,DD79BO,SNRFOR,EUR,MM14,Composite,0.18%,0.21%,0.33%,0.38%,0.64%,0.74%,0.83%,0.89%,0.96%,0.98%,40%,9,Materials,Europe,,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,RAI,Reynolds Amern Inc,7D7884,SECDOM,USD,XR14,Composite,0.09%,0.11%,0.20%,0.34%,0.72%,0.95%,1.08%,1.18%,1.24%,1.25%,40%,9,Consumer Stable,N.Amer,BBB,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,RAI,Reynolds Amern Inc,7D7884,SNRFOR,USD,XR14,Composite,0.09%,0.11%,0.20%,0.34%,0.72%,0.95%,1.08%,1.18%,1.24%,1.25%,40%,9,Consumer Stable,N.Amer,BBB,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
