"Date","Timezone","Ticker","ShortName","RedCode","Tier","Ccy","DocClause","Spread6m","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","Spread7y","Spread10y","Spread15y","Spread20y","Spread30y","Recovery","DataRating","Sector","Region","Country","AvRating","ImpliedRating"
"06-MAR-19","E","KOMBNK","Kommunalbanken AS","RX967V","SNRFOR","USD","CR14","0.037289%","0.038263%","0.046661%","0.060249000000000004%","0.083753%","0.107197%","0.15384%","0.20293899999999998%","0.264347%","0.283572%","0.31275000000000003%","40%","","Government","Europe","Norway","AAA","AAA"
"06-MAR-19","E","KOMBNK","Kommunalbanken AS","RX967V","SNRFOR","USD","MM14","0.037289%","0.038263%","0.046661%","0.060249000000000004%","0.083753%","0.107197%","0.15384%","0.20293899999999998%","0.264347%","0.283572%","0.31275000000000003%","40%","","Government","Europe","Norway","AAA","AAA"
"06-MAR-19","E","KOMORI","KOMORI Corp","JM8EC4","SNRFOR","JPY","CR14","1.008078%","1.040695%","1.0864209999999999%","1.1248019999999999%","1.157901%","1.187081%","1.232131%","1.285428%","1.348527%","1.41951%","1.551635%","35%","","Industrials","Asia","Japan","","B"
"06-MAR-19","E","KONAHOL","KONAMI HLDGS CORP","JM960K","SNRFOR","JPY","CR14","0.216951%","0.233126%","0.32974800000000004%","0.43615499999999996%","0.579009%","0.7051510000000001%","0.762217%","","","","","35%","","Consumer Goods","Asia","Japan","","BB"
"06-MAR-19","E","KONIAHO","Koninklijke Ahold Delhaize NV","NN07BI","SNRFOR","EUR","CR14","0.055652999999999994%","0.071726%","0.13592400000000002%","0.210107%","0.336155%","0.452824%","0.703598%","0.8931939999999999%","0.948234%","0.965705%","0.989405%","40%","","Consumer Services","Europe","Netherlands","BBB","BBB"
"06-MAR-19","E","KONIAHO","Koninklijke Ahold Delhaize NV","NN07BI","SNRFOR","EUR","MM14","0.053062%","0.068366%","0.12954500000000002%","0.200263%","0.32044500000000004%","0.43167400000000006%","0.670769%","0.851458%","0.9036270000000001%","0.9198670000000001%","0.941644%","40%","","Consumer Services","Europe","Netherlands","BBB","BBB"
"06-MAR-19","E","KONIAHO","Koninklijke Ahold Delhaize NV","NN07BI","SNRFOR","EUR","MR14","0.053062%","0.068366%","0.12954500000000002%","0.200263%","0.32044500000000004%","0.43167400000000006%","0.670769%","0.851458%","0.9036270000000001%","0.9198670000000001%","0.941644%","40%","","Consumer Services","Europe","Netherlands","BBB","BBB"
"06-MAR-19","E","KONIAHO","Koninklijke Ahold Delhaize NV","NN07BI","SNRFOR","GBP","MM14","0.053062%","0.068366%","0.12954500000000002%","0.200263%","0.32044500000000004%","0.43167400000000006%","0.670769%","0.851458%","0.9036270000000001%","0.9198670000000001%","0.941644%","40%","","Consumer Services","Europe","Netherlands","BBB","BBB"
"06-MAR-19","E","KONIAHO","Koninklijke Ahold Delhaize NV","NN07BI","SNRFOR","USD","CR14","0.055652999999999994%","0.071726%","0.13592400000000002%","0.210107%","0.336155%","0.452824%","0.703598%","0.8931939999999999%","0.948234%","0.965705%","0.989405%","40%","","Consumer Services","Europe","Netherlands","BBB","BBB"
"06-MAR-19","E","KONIAHO","Koninklijke Ahold Delhaize NV","NN07BI","SNRFOR","USD","MM14","0.053062%","0.068366%","0.12954500000000002%","0.200263%","0.32044500000000004%","0.43167400000000006%","0.670769%","0.851458%","0.9036270000000001%","0.9198670000000001%","0.941644%","40%","","Consumer Services","Europe","Netherlands","BBB","BBB"
